CarModel        AgeOfCar        Price        OdoMeterReading                DealingType        GearSystem        NoOfOwners
Tata Tiago 1.2 Revotron XE        4        531250        7000        Petrol        Direct Owner        Manual        First Owner
Maruti Celerio Green VXI        6        456250        82000        CNG        Direct Owner        Manual        First Owner
Maruti Omni E MPI STD BS IV        5        312500        124000        Petrol        Direct Owner        Manual        First Owner
Maruti 800 Std        19        46875        94000        Petrol        Direct Owner        Manual        Second Owner
Ford EcoSport 1.5 Diesel Trend BSIV        5        1051250        5000        Diesel        Direct Owner        Manual        First Owner
Hyundai i10 Magna        11        287498.75        53824        Petrol        Broker        Manual        First Owner
Maruti Swift 1.3 VXI ABS        17        118750        114000        Petrol        Direct Owner        Manual        Third Owner
Honda City Corporate Edition        10        618750        49241        Petrol        Broker        Manual        First Owner
Tata Indica Vista Quadrajet LX        12        186250        14000        Diesel        Direct Owner        Manual        Second Owner
Hyundai EON Magna Plus        11        212500        64000        Petrol        Direct Owner        Manual        First Owner
Hyundai i20 Active 1.2 SX        8        706250        50000        Petrol        Direct Owner        Manual        First Owner
Maruti Ritz VDi        9        437500        137000        Diesel        Direct Owner        Manual        First Owner
Mahindra Xylo D4        5        937500        91000        Diesel        Direct Owner        Manual        First Owner
Maruti Swift Dzire VDi        12        468750        194000        Diesel        Direct Owner        Manual        Third Owner
Maruti Omni E MPI STD BS IV        5        360000        24000        Petrol        Broker        Manual        First Owner
Maruti Celerio LXI MT BSIV        4        425000        54000        Petrol        Direct Owner        Manual        First Owner
Nissan Sunny XL        7        750000        23495        Petrol        Broker        Manual        First Owner
Maruti Swift Dzire VDI        4        812500        9000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto LX        17        81250        128439        Petrol        Direct Owner        Manual        Second Owner
Hyundai EON Magna        11        312500        48588        Petrol        Broker        Manual        First Owner
Maruti SX4 S Cross DDiS 320 Delta        7        831250        564000        Diesel        Broker        Manual        First Owner
Nissan Micra XL CVT        8        543748.75        44000        Petrol        Direct Owner        Automatic        Second Owner
Tata Tiago 1.2 Revotron XZ        5        625000        34000        Petrol        Direct Owner        Manual        First Owner
Maruti Alto LX BSIII        15        106250        124000        Petrol        Direct Owner        Manual        Second Owner
Chevrolet Beat Diesel LT        12        162500        84000        Diesel        Direct Owner        Manual        Second Owner
Maruti Ciaz 1.4 AT Zeta        6        625000        44000        Petrol        Direct Owner        Automatic        First Owner
Fiat Linea T Jet Emotion        13        268750        94000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Santro GS        18        100000        60580        Petrol        Broker        Manual        First Owner
Maruti Swift VDI        11        562500        50000        Diesel        Direct Owner        Manual        First Owner
Chevrolet Beat LT Option        7        298750        45000        Petrol        Broker        Manual        First Owner
Hyundai EON Era Plus Option        9        331250        59000        Petrol        Broker        Manual        First Owner
Maruti Alto K10 2010-2014 VXI        11        325000        44000        Petrol        Direct Owner        Manual        First Owner
Tata Indigo LX        12        175000        64000        Diesel        Direct Owner        Manual        Second Owner
Honda Jazz VX CVT        7        725000        36000        Petrol        Broker        Automatic        First Owner
Maruti Ciaz VDi        8        687500        94658        Diesel        Broker        Manual        First Owner
Mahindra XUV500 AT W8 FWD        6        1537500        74000        Diesel        Direct Owner        Automatic        First Owner
Skoda Laura Ambiente 2.0 TDI CR MT        11        481250        56000        Diesel        Broker        Manual        First Owner
Toyota Corolla Altis D-4D J        8        1031250        79000        Diesel        Broker        Manual        Second Owner
Mahindra Scorpio 2.6 CRDe SLE        12        531250        54000        Diesel        Direct Owner        Manual        First Owner
Maruti Ritz LXI        14        375000        19000        Petrol        Direct Owner        Manual        First Owner
Toyota Fortuner 4x2 AT        6        3250000        51162        Diesel        Trustmark Broker        Automatic        First Owner
Hyundai Verna 1.6 VTVT SX        8        950000        59340        Petrol        Trustmark Broker        Manual        First Owner
Renault KWID RXT        7        250000        57000        Petrol        Direct Owner        Manual        Second Owner
Maruti Alto K10 VXI        5        289998.75        24000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift VDI        11        400000        84000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Creta 1.6 SX        4        1500000        5200        Petrol        Direct Owner        Manual        First Owner
Audi Q7 35 TDI Quattro Premium        14        1562500        82000        Diesel        Broker        Automatic        Third Owner
Mercedes-Benz GL-Class 350 CDI Blue Efficiency        9        5500000        104000        Diesel        Direct Owner        Automatic        Second Owner
Hyundai Verna 1.4 VTVT        6        412500        84577        Petrol        Direct Owner        Manual        First Owner
Mahindra Verito Vibe 1.5 dCi D6        8        350000        44000        Diesel        Direct Owner        Manual        First Owner
Volkswagen Vento 1.5 TDI Highline        8        656250        102000        Diesel        Broker        Manual        First Owner
Mercedes-Benz E-Class 220 CDI        22        437500        104000        Diesel        Direct Owner        Manual        Second Owner
Ford Fiesta Classic 1.4 Duratorq CLXI        12        187500        190000        Diesel        Direct Owner        Manual        Second Owner
Chevrolet Aveo U-VA 1.2 LS        13        175000        64000        Petrol        Direct Owner        Manual        First Owner
Ford Ikon 1.3 Flair        18        76250        8637        Petrol        Direct Owner        Manual        Second Owner
Maruti Swift VDI Optional        7        637498.75        44000        Diesel        Direct Owner        Manual        First Owner
Maruti SX4 Vxi BSIV        11        281250        114000        Petrol        Direct Owner        Manual        Second Owner
Maruti Swift VXI        11        462500        63858        Petrol        Broker        Manual        First Owner
Audi Q5 2.0 TFSI Quattro        13        1375000        114000        Petrol        Direct Owner        Automatic        First Owner
Land Rover Range Rover Evoque 2.2L Dynamic        11        2936250        153000        Diesel        Direct Owner        Automatic        Second Owner
Maruti Ertiga ZDI        8        895000        104000        Diesel        Direct Owner        Manual        First Owner
Ford Fiesta Titanium 1.5 TDCi        11        206250        124000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto LXi BSIII        14        143748.75        94000        Petrol        Direct Owner        Manual        Second Owner
Toyota Corolla Altis G        12        625000        44000        Petrol        Direct Owner        Manual        Second Owner
Honda City i DTEC V        9        700000        78000        Diesel        Direct Owner        Manual        Second Owner
Honda City i DTEC S        9        875000        94000        Diesel        Direct Owner        Manual        Second Owner
Mahindra TUV 300 T6 Plus        5        1000000        24000        Diesel        Direct Owner        Manual        First Owner
Hyundai i20 Asta 1.4 CRDi        8        687500        94000        Diesel        Direct Owner        Manual        First Owner
Renault Duster 85PS Diesel RxL Plus        10        712500        66668        Diesel        Broker        Manual        First Owner
Maruti Zen LXI        18        112500        94000        Petrol        Direct Owner        Manual        Second Owner
Ford Figo Diesel EXI        12        175000        94000        Diesel        Direct Owner        Manual        Third Owner
Mahindra Bolero SLX        15        193750        104000        Diesel        Direct Owner        Manual        First Owner
Nissan Terrano XL Plus 85 PS        8        662500        59000        Diesel        Broker        Manual        First Owner
Maruti Swift Dzire ZDI        4        593750        124000        Diesel        Direct Owner        Manual        Second Owner
Mahindra Bolero DI        18        375000        94000        Diesel        Direct Owner        Manual        Second Owner
Renault KWID RXT        7        350000        44000        Petrol        Direct Owner        Manual        First Owner
Chevrolet Beat LT        13        143748.75        74000        Petrol        Direct Owner        Manual        Second Owner
Mahindra XUV500 W8 2WD        11        812500        106000        Diesel        Direct Owner        Manual        Second Owner
Mitsubishi Pajero 2.8 SFX BSIV Dual Tone        12        1031250        124000        Diesel        Direct Owner        Manual        First Owner
Hyundai i20 Asta Option 1.4 CRDi        7        725000        61000        Diesel        Direct Owner        Manual        First Owner
Maruti Swift VXI BSIV        7        625000        64000        Petrol        Direct Owner        Manual        First Owner
Honda Amaze E i-Vtech        8        450000        84000        Petrol        Direct Owner        Manual        Second Owner
Toyota Innova 2.5 VX (Diesel) 8 Seater        9        1312500        74000        Diesel        Direct Owner        Manual        First Owner
Tata Zest Quadrajet 1.3 75PS XE        8        375000        144000        Diesel        Broker        Manual        First Owner
Fiat Grande Punto EVO 1.3 Active        9        325000        54000        Diesel        Direct Owner        Manual        First Owner
Nissan Micra XL        12        343750        44000        Petrol        Direct Owner        Manual        Second Owner
Mahindra Scorpio S4 4WD        8        750000        64000        Diesel        Direct Owner        Manual        First Owner
Tata Tiago 1.2 Revotron XTA        5        532500        19000        Petrol        Direct Owner        Automatic        First Owner
Tata Manza Aura (ABS) Quadrajet BS IV        11        368750        84000        Diesel        Direct Owner        Manual        Second Owner
Hyundai EON Era Plus        8        368750        25000        Petrol        Broker        Manual        Second Owner
Hyundai Grand i10 Magna AT        6        650000        14510        Petrol        Broker        Automatic        First Owner
Maruti Wagon R VXI BSII        17        93750        84000        Petrol        Direct Owner        Manual        Second Owner
Tata Nano Lx        13        50000        94000        Petrol        Direct Owner        Manual        First Owner
Maruti Ciaz ZDi SHVS        7        856250        64000        Diesel        Direct Owner        Manual        First Owner
Hyundai Xcent 1.2 Kappa SX        7        562500        39000        Petrol        Direct Owner        Manual        Second Owner
Chevrolet Tavera Neo 3 10 Seats BSIV        16        200000        124000        Diesel        Direct Owner        Manual        Third Owner
Hyundai EON D Lite        7        343750        29000        Petrol        Direct Owner        Manual        First Owner
Mahindra Ingenio CRDe        8        262500        214000        Diesel        Direct Owner        Manual        First Owner
Hyundai i20 Asta 1.4 CRDi        8        662500        81000        Diesel        Direct Owner        Manual        Second Owner
Maruti Omni MPI STD BSIV        5        250000        14000        Petrol        Direct Owner        Manual        First Owner
Maruti 800 AC BSII        19        68750        39000        Petrol        Direct Owner        Manual        Third Owner
Hyundai i10 Sportz 1.2        13        262500        64000        Petrol        Direct Owner        Manual        Second Owner
Maruti Wagon R Stingray VXI        10        337500        78000        Petrol        Direct Owner        Manual        Third Owner
Maruti Alto 800 LXI        10        116000        29000        Petrol        Direct Owner        Manual        Second Owner
Tata Safari Storme EX        9        687500        82322        Diesel        Direct Owner        Manual        First Owner
Maruti Celerio VXI Optional        6        538748.75        18000        Petrol        Broker        Manual        First Owner
Chevrolet Tavera Neo 3 LS 7 C BSIII        8        500000        124000        Diesel        Direct Owner        Manual        First Owner
Toyota Fortuner 4x2 AT        6        3250000        51162        Diesel        Trustmark Broker        Automatic        First Owner
Hyundai Grand i10 1.2 CRDi Asta        5        581250        29000        Diesel        Direct Owner        Manual        First Owner
Maruti Zen Estilo LXI BSIII        16        343750        14211        Petrol        Direct Owner        Manual        First Owner
Maruti Alto LXi BSIII        15        156250        106000        Petrol        Broker        Manual        First Owner
Hyundai Xcent 1.2 Kappa SX        7        437500        16000        Petrol        Direct Owner        Manual        First Owner
Hyundai Verna 1.6 SX        11        512498.75        124000        Diesel        Direct Owner        Manual        Third Owner
Toyota Camry 2.5 Hybrid        6        2375000        24000        Petrol        Direct Owner        Automatic        First Owner
Maruti SX4 ZDI        12        437500        109000        Diesel        Broker        Manual        First Owner
Mahindra Xylo D2        13        375000        74000        Diesel        Direct Owner        Manual        First Owner
Mahindra Scorpio S2 9 Seater        8        1037500        74000        Diesel        Direct Owner        Manual        First Owner
Honda City 1.3 EXI        25        106250        124000        Petrol        Direct Owner        Manual        Second Owner
Renault KWID 1.0 RXT Optional        4        500000        14000        Petrol        Direct Owner        Manual        First Owner
Tata Indica Vista Aqua 1.4 TDI        13        156250        85000        Diesel        Direct Owner        Manual        Second Owner
Maruti Swift Ldi BSIV        13        350000        153500        Diesel        Direct Owner        Manual        Third Owner
Maruti Wagon R LXI Minor        16        100000        124000        Petrol        Direct Owner        Manual        Second Owner
Mahindra XUV500 W8 4WD        11        781250        130000        Diesel        Direct Owner        Manual        Second Owner
Maruti Alto 800 LXI        5        356250        34000        Petrol        Broker        Manual        First Owner
Tata Tiago 1.05 Revotorq XT Option        6        562500        39000        Diesel        Direct Owner        Manual        First Owner
Hyundai i20 1.4 CRDi Sportz        11        562500        124000        Diesel        Direct Owner        Manual        Second Owner
Tata Tiago XZA AMT        5        656250        14980        Petrol        Broker        Automatic        First Owner
Tata Indigo CR4        10        212500        64000        Diesel        Direct Owner        Manual        First Owner
Tata Indica Vista Quadrajet LS        11        187500        84000        Diesel        Direct Owner        Manual        Second Owner
Maruti Esteem Vxi - BSIII        17        106250        64000        Petrol        Direct Owner        Manual        Second Owner
Maruti Swift Dzire VDI        6        750000        70000        Diesel        Direct Owner        Manual        Third Owner
Maruti Swift Dzire LDi        13        312500        114000        Diesel        Direct Owner        Manual        Third Owner
Hyundai Grand i10 Asta Option        6        675000        24000        Petrol        Direct Owner        Manual        Second Owner
Maruti Alto LXi BSIII        13        237500        77350        Petrol        Broker        Manual        First Owner
Hyundai i20 Magna 1.2        7        750000        65000        Petrol        Direct Owner        Manual        First Owner
Tata New Safari DICOR 2.2 GX 4x2        12        400000        104000        Diesel        Direct Owner        Manual        Second Owner
Ford Figo Aspire 1.5 TDCi Titanium        7        500000        74000        Diesel        Direct Owner        Manual        First Owner
Ford Endeavour 4x4 XLT        19        343750        26288        Diesel        Broker        Manual        Second Owner
Maruti Alto 800 LXI        9        237500        94000        Petrol        Direct Owner        Manual        Second Owner
Toyota Etios Cross 1.2L G        8        400000        64000        Petrol        Direct Owner        Manual        First Owner
Hyundai Santro Xing GLS        15        162500        104000        Petrol        Direct Owner        Manual        First Owner
Chevrolet Spark 1.0        13        98365        84000        Petrol        Direct Owner        Manual        Second Owner
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII        11        500000        124000        Diesel        Direct Owner        Manual        Third Owner
Maruti Alto LXi        13        150000        94000        Petrol        Direct Owner        Manual        Second Owner
Mahindra Renault Logan 1.5 DLE Diesel        16        156250        114000        Diesel        Direct Owner        Manual        Second Owner
Tata Indica Vista Aqua 1.3 Quadrajet BSIV        12        225000        70000        Diesel        Direct Owner        Manual        First Owner
Maruti S-Cross Zeta DDiS 200 SH        8        937500        49974        Diesel        Trustmark Broker        Manual        First Owner
Maruti Wagon R VXI        7        450000        37000        Petrol        Broker        Manual        First Owner
Maruti Alto LXi BSIII        15        156250        84000        Petrol        Direct Owner        Manual        First Owner
Mercedes-Benz C-Class Progressive C 220d        5        4750000        14000        Diesel        Broker        Automatic        First Owner
Mahindra Bolero SLX        7        731250        55000        Diesel        Broker        Manual        First Owner
Maruti 800 AC        16        75000        74000        Petrol        Direct Owner        Manual        First Owner
Ford Fiesta Classic 1.6 Duratec CLXI        11        437500        42000        Petrol        Direct Owner        Manual        First Owner
Hyundai Elite i20 Sportz Plus BSIV        8        687500        53000        Petrol        Direct Owner        Manual        First Owner
Mahindra Bolero Power Plus SLX        4        1000000        19000        Diesel        Direct Owner        Manual        First Owner
Maruti Ertiga VDI        9        625000        104000        Diesel        Direct Owner        Manual        Second Owner
Tata Zest Quadrajet 1.3 75PS XE        7        500000        92470        Diesel        Direct Owner        Manual        First Owner
Mahindra Quanto C8        10        375000        29000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Creta 1.4 CRDi Base        7        1125000        84000        Diesel        Direct Owner        Manual        First Owner
Hyundai Grand i10 Nios Sportz        3        750000        9000        Petrol        Direct Owner        Manual        First Owner
Hyundai Santro Xing XG        17        87500        114000        Petrol        Direct Owner        Manual        Third Owner
Tata Indica Vista Terra 1.4 TDI        12        112500        84000        Diesel        Direct Owner        Manual        First Owner
Tata Harrier XZ BSIV        4        1750000        37000        Diesel        Direct Owner        Manual        First Owner
Ford Classic 1.6 Duratec LXI        12        331250        24000        Petrol        Broker        Manual        First Owner
Ford Figo Diesel EXI        9        356250        72293        Diesel        Broker        Manual        Second Owner
Tata Hexa XT        6        1500000        20400        Diesel        Direct Owner        Manual        First Owner
Hyundai i20 Asta (o)        14        375000        54000        Petrol        Direct Owner        Manual        First Owner
Maruti Wagon R VXI Minor        16        100000        64000        Petrol        Direct Owner        Manual        Third Owner
Ford Ecosport 1.5 DV5 MT Titanium        9        625000        53000        Diesel        Direct Owner        Manual        First Owner
Mahindra XUV500 W8 2WD        11        888750        57600        Diesel        Broker        Manual        First Owner
Tata Altroz XE        3        625000        9000        Petrol        Direct Owner        Manual        First Owner
Maruti Zen LXi - BS III        18        156250        38000        Petrol        Broker        Manual        First Owner
Datsun GO T BSIV        9        312500        62000        Petrol        Direct Owner        Manual        First Owner
Chevrolet Sail 1.2 Base        9        362500        29000        Petrol        Direct Owner        Manual        First Owner
Chevrolet Beat Diesel PS        11        198750        72000        Diesel        Broker        Manual        First Owner
Hyundai Getz GLS        18        312500        74000        Petrol        Direct Owner        Manual        First Owner
Ford EcoSport 1.5 Petrol Titanium BSIV        6        1000000        23000        Petrol        Direct Owner        Manual        First Owner
Honda City i-DTEC SV        9        618750        84000        Diesel        Broker        Manual        First Owner
Mahindra Bolero 2011-2019 SLE        10        406250        66200        Diesel        Broker        Manual        First Owner
Maruti Swift VDI BSIV        12        362500        134000        Diesel        Direct Owner        Manual        Second Owner
Hyundai i10 Asta AT        12        437500        54000        Petrol        Direct Owner        Automatic        Second Owner
Renault KWID RXT        6        393750        20000        Petrol        Direct Owner        Manual        First Owner
Tata New Safari DICOR 2.2 EX 4x4        14        312500        124000        Diesel        Direct Owner        Manual        Second Owner
Tata Indigo CR4        12        162500        94000        Diesel        Direct Owner        Manual        First Owner
Mahindra Bolero B6        7        750000        60000        Diesel        Broker        Manual        First Owner
Hyundai i20 Asta (o)        14        375000        54000        Petrol        Direct Owner        Manual        First Owner
Tata Safari DICOR 2.2 EX 4x2        10        475000        104000        Diesel        Direct Owner        Manual        First Owner
Hyundai Xcent 1.2 VTVT S        4        750000        84000        Petrol        Direct Owner        Manual        First Owner
Maruti 800 AC Uniq        18        81250        74000        Petrol        Direct Owner        Manual        Second Owner
Maruti Swift VDI BSIV        12        337500        124000        Diesel        Direct Owner        Manual        First Owner
Honda Mobilio V i DTEC        8        750000        124000        Diesel        Direct Owner        Manual        First Owner
Mahindra KUV 100 mFALCON D75 K6        7        537500        24000        Diesel        Direct Owner        Manual        First Owner
Tata Nano LX        10        72500        31974        Petrol        Direct Owner        Manual        First Owner
Honda Jazz V        4        812500        8000        Petrol        Direct Owner        Manual        First Owner
Maruti Alto 800 LXI        8        313748.75        39000        Petrol        Broker        Manual        First Owner
Hyundai i20 1.2 Magna        11        412500        48000        Petrol        Direct Owner        Manual        First Owner
Maruti 800 AC BSIII        18        125000        34000        Petrol        Direct Owner        Manual        First Owner
Mahindra KUV 100 D75 K6 Plus        6        475000        75000        Diesel        Broker        Manual        First Owner
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV        17        287498.75        304000        Diesel        Direct Owner        Manual        First Owner
Tata Indica Vista Terra 1.4 TDI        14        116250        74000        Diesel        Direct Owner        Manual        Second Owner
Mahindra Bolero Power Plus SLX        5        875000        84000        Diesel        Direct Owner        Manual        First Owner
Hyundai Grand i10 1.2 Kappa Magna AT        6        687500        23890        Petrol        Broker        Automatic        First Owner
Hyundai i20 Active S Petrol        7        700000        72523        Petrol        Broker        Manual        First Owner
Maruti Alto LXi        12        281250        41091        Petrol        Direct Owner        Manual        First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater        9        937500        149000        Diesel        Direct Owner        Manual        Second Owner
Tata Indica DLE        17        56250        124000        Diesel        Direct Owner        Manual        Second Owner
Chevrolet Sail Hatchback LS ABS        10        250000        124000        Diesel        Direct Owner        Manual        Second Owner
Maruti Esteem VX        24        75000        39000        Petrol        Direct Owner        Manual        Second Owner
Maruti Ertiga VXI        8        781250        15918        Petrol        Trustmark Broker        Manual        First Owner
Honda BR-V i-VTEC S MT        5        1125000        9000        Petrol        Direct Owner        Manual        First Owner
Tata Indica Vista TDI LS        10        262500        139000        Diesel        Broker        Manual        Second Owner
Datsun RediGO AMT 1.0 S        5        375000        29000        Petrol        Direct Owner        Automatic        First Owner
Audi Q3 2.0 TDI Quattro Premium Plus        8        2187500        131643        Diesel        Broker        Automatic        First Owner
Ford Figo Petrol Titanium        9        437500        47000        Petrol        Broker        Manual        First Owner
Maruti Alto 800 VXI        9        200000        94000        Petrol        Direct Owner        Manual        First Owner
Toyota Innova 2.5 VX (Diesel) 8 Seater        8        1875000        50412        Diesel        Direct Owner        Manual        First Owner
Maruti Baleno Zeta        3        875000        5100        Petrol        Direct Owner        Manual        First Owner
Maruti Swift ZXI BSIV        7        837500        11104        Petrol        Trustmark Broker        Manual        First Owner
Volkswagen Ameo 1.5 TDI Highline 16 Alloy        6        718750        84000        Diesel        Direct Owner        Manual        First Owner
Hyundai i10 Sportz 1.1L        9        375000        41555        Petrol        Broker        Manual        First Owner
Mahindra Scorpio 2.6 Turbo 9 Str        16        462500        104000        Diesel        Direct Owner        Manual        Third Owner
Honda Jazz 1.2 VX i VTEC        7        765000        109429        Petrol        Broker        Manual        First Owner
Mahindra Xylo E8        14        362500        104000        Diesel        Direct Owner        Manual        Second Owner
Maruti SX4 Vxi BSIV        11        281250        114000        Petrol        Direct Owner        Manual        Second Owner
Hyundai i20 Active 1.2 S        5        812500        34000        Petrol        Direct Owner        Manual        First Owner
Chevrolet Beat Diesel LT        10        262500        84000        Diesel        Direct Owner        Manual        Second Owner
Tata New Safari DICOR 2.2 EX 4x2        15        275000        94000        Diesel        Direct Owner        Manual        Second Owner
Honda City i-VTEC ZX        5        1500000        33600        Petrol        Broker        Manual        First Owner
Maruti Celerio LXI MT BSIV        4        425000        54000        Petrol        Direct Owner        Manual        First Owner
Honda Mobilio S i DTEC        8        525000        108000        Diesel        Direct Owner        Manual        Second Owner
Mahindra Scorpio S7 140 BSIV        5        1375000        24000        Diesel        Direct Owner        Manual        First Owner
Mahindra XUV500 W11 Option AWD        3        1750000        29000        Diesel        Broker        Manual        First Owner
Maruti Swift 1.3 VXi        17        250000        49000        Petrol        Direct Owner        Manual        First Owner
Maruti Ritz VDi        11        281250        94000        Diesel        Direct Owner        Manual        Second Owner
Maruti Alto LXi        14        187500        94246        Petrol        Direct Owner        Manual        Third Owner
Tata Indica Vista Aqua 1.2 Safire BSIV        13        121250        132000        Petrol        Direct Owner        Manual        First Owner
Maruti Alto LXi        15        143748.75        34000        Petrol        Direct Owner        Manual        First Owner
Land Rover Discovery S 2.0 SD4        5        5000000        72000        Petrol        Direct Owner        Automatic        First Owner
Maruti Ritz VDi        10        300000        64000        Diesel        Direct Owner        Manual        Second Owner
Hyundai i20 1.4 CRDi Era        12        275000        74000        Diesel        Direct Owner        Manual        First Owner
Maruti Vitara Brezza ZDi Plus        7        1024998.75        89000        Diesel        Direct Owner        Manual        First Owner
Renault KWID Climber 1.0 MT Opt BSIV        3        676250        5000        Petrol        Broker        Manual        Test Drive Car
Renault Duster 85PS Diesel RxL        10        562500        5000        Diesel        Broker        Manual        Second Owner
Hyundai EON Magna Plus        5        306250        34000        Petrol        Direct Owner        Manual        First Owner
Hyundai i10 Magna 1.1        15        125000        64000        Petrol        Direct Owner        Manual        Second Owner
Mahindra XUV500 W8 2WD        11        725000        74000        Diesel        Direct Owner        Manual        First Owner
Skoda Rapid 1.5 TDI AT Ambition BSIV        6        937500        44000        Diesel        Direct Owner        Automatic        First Owner
Hyundai i10 Sportz 1.2 AT        10        412500        42000        Petrol        Broker        Automatic        First Owner
Maruti Swift Dzire AMT VDI        4        906250        26000        Diesel        Direct Owner        Automatic        First Owner
Mahindra TUV 300 T8        7        875000        44000        Diesel        Direct Owner        Manual        First Owner
Nissan Sunny XL D        10        281250        82000        Diesel        Broker        Manual        First Owner
Tata Manza Aura Safire        13        250000        54000        Petrol        Direct Owner        Manual        First Owner
Toyota Innova Crysta 2.4 G MT BSIV        7        1625000        74000        Diesel        Direct Owner        Manual        First Owner
Maruti Swift AMT VXI        4        718750        29000        Petrol        Direct Owner        Automatic        First Owner
Hyundai Grand i10 1.2 Kappa Magna AT        6        687500        23890        Petrol        Broker        Automatic        First Owner
Ford Figo Aspire 1.2 Ti-VCT Trend        7        475000        19000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift 1.3 LXI        16        91250        84000        Petrol        Direct Owner        Manual        Second Owner
Hyundai i10 Era 1.1 iTech SE        12        183750        114000        Petrol        Direct Owner        Manual        Second Owner
Nissan Micra Diesel XV        10        375000        94000        Diesel        Direct Owner        Manual        First Owner
Maruti Alto 800 LXI        9        225000        65000        Petrol        Direct Owner        Manual        First Owner
Hyundai i10 Magna        11        287498.75        53824        Petrol        Broker        Manual        First Owner
Hyundai Verna 1.6 CRDI        11        390000        94000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Verna 1.6 CRDI        12        325000        129000        Diesel        Direct Owner        Manual        Third Owner
Mahindra KUV 100 G80 K4 Plus        5        637498.75        19000        Petrol        Direct Owner        Manual        First Owner
Mahindra Scorpio VLX 2WD AT BSIV        14        343750        159000        Diesel        Direct Owner        Automatic        Third Owner
Maruti Zen LX        23        75000        54000        Petrol        Direct Owner        Manual        First Owner
Honda Brio 1.2 S MT        11        343750        51000        Petrol        Broker        Manual        First Owner
Audi Q3 2.0 TDI Quattro Premium Plus        9        1437500        114000        Diesel        Direct Owner        Automatic        Second Owner
Audi A6 2.8 FSI        15        812500        74000        Petrol        Direct Owner        Automatic        Third Owner
Chevrolet Beat LT        11        193750        16000        Petrol        Direct Owner        Manual        First Owner
Tata Indigo CR4        13        187500        84000        Diesel        Direct Owner        Manual        Second Owner
Maruti Swift Dzire ZDI        5        937500        54000        Diesel        Direct Owner        Manual        First Owner
Chevrolet Beat Diesel LS        10        162500        97900        Diesel        Direct Owner        Manual        Second Owner
Volkswagen Polo 1.5 TDI Highline        8        750000        74000        Diesel        Direct Owner        Manual        First Owner
Ford Freestyle Titanium Diesel        4        937500        29000        Diesel        Direct Owner        Manual        First Owner
Volkswagen Vento Diesel Highline        12        325000        154000        Diesel        Direct Owner        Manual        First Owner
Ford Figo Aspire 1.5 Ti-VCT Titanium        6        712500        48077        Petrol        Broker        Automatic        First Owner
Maruti Alto LXi        14        137500        54000        Petrol        Direct Owner        Manual        Second Owner
Maruti Wagon R LXI        3        300000        124000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift VXI        4        625000        24000        Petrol        Direct Owner        Manual        First Owner
Toyota Camry M/t        15        812500        79000        Petrol        Direct Owner        Manual        Second Owner
Toyota Etios Liva GD        11        375000        54000        Diesel        Direct Owner        Manual        Second Owner
Maruti Swift Dzire VDI        9        542500        83350        Diesel        Direct Owner        Manual        Second Owner
Maruti Celerio X ZXI BSIV        4        612500        17900        Petrol        Direct Owner        Manual        First Owner
Tata Indica Vista Quadrajet VX        11        231250        44000        Diesel        Direct Owner        Manual        First Owner
Mahindra XUV500 W8 2WD        11        888750        57600        Diesel        Broker        Manual        First Owner
Honda Amaze VX i-DTEC        10        562500        57000        Diesel        Direct Owner        Manual        First Owner
Honda Mobilio E i DTEC        6        825000        120000        Diesel        Direct Owner        Manual        First Owner
Hyundai Verna i (Petrol)        15        150000        94000        Petrol        Direct Owner        Manual        Second Owner
Jaguar XF 3.0 Litre S Premium Luxury        11        2250000        54000        Diesel        Direct Owner        Automatic        Second Owner
Tata Indica LSI        21        156250        44000        Petrol        Direct Owner        Manual        First Owner
Mahindra Jeep MM 540        27        250000        64000        Diesel        Direct Owner        Manual        First Owner
Maruti Wagon R VXI        9        393750        45000        Petrol        Broker        Manual        First Owner
Ford Figo Aspire 1.2 Ti-VCT Trend        6        662500        14832        Petrol        Broker        Manual        First Owner
Volkswagen Jetta 1.4 TSI Comfortline        10        562500        54000        Petrol        Direct Owner        Manual        First Owner
Land Rover Discovery Sport TD4 HSE 7S        5        5000000        72000        Diesel        Direct Owner        Automatic        First Owner
Mahindra Scorpio EX        11        687500        64236        Diesel        Broker        Manual        First Owner
Hyundai Santro Era        4        437500        34000        Petrol        Direct Owner        Manual        First Owner
Hyundai i10 Era 1.1        14        337500        31633        Petrol        Direct Owner        Manual        First Owner
Maruti Omni MPI STD BSIV        8        162500        74000        Petrol        Direct Owner        Manual        First Owner
Volkswagen Jetta 2.0 TDI Comfortline        12        437500        316000        Diesel        Direct Owner        Manual        Third Owner
Maruti Swift VVT VXI        6        500000        34000        Petrol        Direct Owner        Manual        First Owner
